1,00:22:6B:7A:B2:F0,Q,=,=33/100,  Signal level,:,-89, Noise level,=,-127,
1,00:22:6B:7A:B2:F0,Q,=,=33/100,  Signal level,:,-89, Noise level,=,-127,
1,00:22:6B:7A:B2:F0,Q,=,=33/100,  Signal level,:,-89, Noise level,=,-127,
1,00:22:6B:7A:B2:F0,Q,=,=33/100,  Signal level,:,-89, Noise level,=,-127,
1,00:22:6B:7A:B2:F0,Q,=,=33/100,  Signal level,:,-89, Noise level,=,-127,
1,00:22:6B:7A:B2:F0,Q,=,=33/100,  Signal level,:,-89, Noise level,=,-127,
1,00:22:6B:7A:B2:F0,Q,=,=33/100,  Signal level,:,-89, Noise level,=,-127,
1,00:22:6B:7A:B2:F0,Q,=,=33/100,  Signal level,:,-89, Noise level,=,-127,
1,00:22:6B:7A:B2:F0,Q,=,=33/100,  Signal level,:,-89, Noise level,=,-127,
1,00:22:6B:7A:B2:F0,Q,=,=33/100,  Signal level,:,-89, Noise level,=,-127,
