1 , 1 , 0 , 14.142136
1 , 2 , 0 , 14.142136
1 , 3 , 0 , 14.142136
1 , 4 , 0 , 14.142136
1 , 5 , 0 , 14.142136
1 , 6 , 0 , 14.142136
1 , 7 , 0 , 14.142136
1 , 8 , 0 , 14.142136
1 , 9 , 0 , 14.142136
1 , 10 , 0 , 14.142136
2 , 11 , 0 , 14.000000
2 , 12 , 0 , 14.000000
2 , 13 , 0 , 14.000000
2 , 14 , 0 , 14.000000
2 , 15 , 0 , 14.000000
2 , 16 , 0 , 14.000000
2 , 17 , 0 , 14.000000
2 , 18 , 0 , 14.000000
2 , 19 , 0 , 14.000000
2 , 20 , 0 , 14.000000
1 , 1 , 1 , 0.000000
1 , 2 , 1 , 0.000000
1 , 3 , 1 , 6.000000
1 , 4 , 1 , 0.000000
1 , 5 , 1 , 0.000000
1 , 6 , 1 , 0.000000
1 , 7 , 1 , 0.000000
1 , 8 , 1 , 0.000000
1 , 9 , 1 , 6.000000
1 , 10 , 1 , 0.000000
2 , 11 , 1 , 2.000000
2 , 12 , 1 , 2.000000
2 , 13 , 1 , 4.000000
2 , 14 , 1 , 2.000000
2 , 15 , 1 , 2.000000
2 , 16 , 1 , 2.000000
2 , 17 , 1 , 4.000000
2 , 18 , 1 , 2.000000
2 , 19 , 1 , 2.000000
2 , 20 , 1 , 2.000000
1 , 1 , 2 , 6.082763
1 , 2 , 2 , 6.082763
1 , 3 , 2 , 9.055385
1 , 4 , 2 , 6.082763
1 , 5 , 2 , 6.082763
1 , 6 , 2 , 6.082763
1 , 7 , 2 , 6.082763
1 , 8 , 2 , 6.082763
1 , 9 , 2 , 9.055385
1 , 10 , 2 , 6.082763
2 , 11 , 2 , 4.123106
2 , 12 , 2 , 4.123106
2 , 13 , 2 , 9.486833
2 , 14 , 2 , 4.123106
2 , 15 , 2 , 4.123106
2 , 16 , 2 , 4.123106
2 , 17 , 2 , 9.486833
2 , 18 , 2 , 4.123106
2 , 19 , 2 , 4.123106
2 , 20 , 2 , 3.605551
1 , 1 , 3 , 6.036923
1 , 2 , 3 , 6.036923
1 , 3 , 3 , 7.453560
1 , 4 , 3 , 3.399346
1 , 5 , 3 , 6.036923
1 , 6 , 3 , 3.399346
1 , 7 , 3 , 6.036923
1 , 8 , 3 , 6.036923
1 , 9 , 3 , 7.453560
1 , 10 , 3 , 3.399346
2 , 11 , 3 , 2.403701
2 , 12 , 3 , 2.403701
2 , 13 , 3 , 6.565905
2 , 14 , 3 , 2.403701
2 , 15 , 3 , 2.403701
2 , 16 , 3 , 2.403701
2 , 17 , 3 , 8.432740
2 , 18 , 3 , 2.403701
2 , 19 , 3 , 2.403701
2 , 20 , 3 , 6.146363
1 , 1 , 4 , 5.522681
1 , 2 , 4 , 5.522681
1 , 3 , 4 , 5.590170
1 , 4 , 4 , 3.535534
1 , 5 , 4 , 5.522681
1 , 6 , 4 , 3.535534
1 , 7 , 4 , 5.522681
1 , 8 , 4 , 5.522681
1 , 9 , 4 , 5.590170
1 , 10 , 4 , 4.031129
2 , 11 , 4 , 3.354102
2 , 12 , 4 , 3.354102
2 , 13 , 4 , 6.500000
2 , 14 , 4 , 3.354102
2 , 15 , 4 , 3.354102
2 , 16 , 4 , 2.692582
2 , 17 , 4 , 5.590170
2 , 18 , 4 , 3.354102
2 , 19 , 4 , 3.354102
2 , 20 , 4 , 4.272002
1 , 1 , 5 , 4.019950
1 , 2 , 5 , 4.019950
1 , 3 , 5 , 4.418144
1 , 4 , 5 , 4.019950
1 , 5 , 5 , 4.019950
1 , 6 , 5 , 4.019950
1 , 7 , 5 , 4.019950
1 , 8 , 5 , 4.019950
1 , 9 , 5 , 4.418144
1 , 10 , 5 , 4.019950
2 , 11 , 5 , 3.124100
2 , 12 , 5 , 3.124100
2 , 13 , 5 , 5.727128
2 , 14 , 5 , 3.124100
2 , 15 , 5 , 3.124100
2 , 16 , 5 , 3.773592
2 , 17 , 5 , 5.011986
2 , 18 , 5 , 3.124100
2 , 19 , 5 , 3.124100
2 , 20 , 5 , 4.176123
1 , 1 , 6 , 3.333333
1 , 2 , 6 , 3.333333
1 , 3 , 6 , 4.346135
